Id,Price
4567,163880.5236414046
5925,125230.63831366539
960,138847.83180923705
3848,166578.5486370778
746,181376.42502101773
868,361588.6349799948
672,119941.15832625981
2471,201073.82361300406
4510,124064.05705969832
8354,240631.19369891047
6393,177652.6384030705
13270,230622.92888632714
5250,268622.83985092863
16751,170793.95270702947
11404,127024.30864025772
10588,335777.5288700808
14925,191692.80750614175
6791,237541.85159737
16097,225257.69547049797
16428,355336.90555334726
6945,343604.973156975
3190,188072.28320609912
15709,470889.39219668537
13155,182591.08275232126
7675,203294.1128168189
14686,229047.45858144457
609,165061.416519272
11155,124864.05811814345
10869,216758.5318458777
15742,182889.577653874
9245,180279.52648529373
3340,179996.83838231518
2359,270937.05906908197
8070,221809.7510817631
13707,128509.88260939017
16079,244113.60719400347
15937,248571.29097208832
14090,176707.15611328313
9008,217334.15735307804
16384,186493.30686602433
11657,249910.255946501
13151,155255.94550398077
8990,182618.8441778241
11857,191105.2806677788
1565,164244.0416419959
8174,117209.50113085838
9247,233432.3859001697
10478,221670.35357201623
15509,149326.70672694658
8306,199148.10100224797
6642,188738.01626378568
7472,210320.64490104464
15989,135141.42351354752
13682,134257.5468432892
163,301146.1739500038
7076,172867.1373711312
7478,342068.7612359649
3029,192313.89821553027
1814,150375.53598158245
10057,151325.12150881253
15100,195450.38246524835
12694,232574.32121596925
6291,170607.42835252994
12603,192689.17513660458
3218,250324.04807623648
13456,134326.01697402942
10170,242894.62533196376
4530,144972.91810323985
13329,165203.26132139034
4820,139885.13506886747
10896,162724.5515676751
13416,115996.04936903607
2701,222438.87833976734
11265,315485.2762161848
9189,268689.585763783
1858,181052.89064556532
14536,240582.85290086886
6199,257138.94410249335
14730,155541.5534260235
7510,274506.62344871333
15505,166365.28116417205
7446,205161.6388136637
14016,184985.3696899033
14113,111655.99975044913
8721,298597.4165541146
6193,282467.0928234327
5717,176056.9739809022
5427,281369.5823661614
9520,568754.3702295632
6869,102146.07419918744
1658,150785.08143254535
6639,222926.01660256044
6283,186824.46655403447
6257,124934.57291807282
15235,189225.19730643125
902,212587.1790364375
8932,200784.52106230255
16469,327099.7235375066
2825,256807.7921263099
6450,448079.5987297961
11366,180618.29094118002
3801,317952.4084037889
11385,229527.37527323718
1079,206334.55677489412
3202,237846.29848679327
676,206240.91765029507
6185,272414.64843029855
7730,168270.41271052032
2573,181929.8549172576
10978,208153.16893802743
10962,255510.4940385661
8870,207794.19852383804
8496,176458.8874439561
5517,177485.78996448056
927,186572.25554305958
13675,195134.68448954113
1499,220298.83542853114
15536,322770.1648651336
8602,333088.27660566603
12137,394398.2141120894
9865,257905.56432431124
16353,287293.73903570866
15908,226742.584698533
3944,181121.30069454404
10359,206638.38414504257
15158,219964.81081182667
3259,270090.1164102036
7220,335319.85957866313
13843,209286.8184485836
16736,179055.58549435544
702,246084.31885694756
16401,99172.55107918207
12134,179533.2687416903
6918,202118.6332600799
11792,130040.19894987806
3798,125806.8637454543
10395,126603.82759042495
11099,124585.82733888466
7090,197369.80404430593
11260,198096.54779349983
9647,207600.9281013954
2903,354065.52065793
2071,180774.52853516224
8604,188363.29831948233
9346,206642.56331998072
3945,213323.03908176627
3420,144215.69370510857
10842,129354.03599999651
725,158181.35768174077
13931,211313.41933502644
16330,220973.71912325532
9066,438416.1895078533
3326,310672.8558514574
1556,273626.6329782948
6579,101235.05898414152
13877,134210.44241944386
9857,336545.0399785002
7302,248086.02330594312
5684,179028.71646620668
6513,222984.89224161484
11342,116767.24369649145
16561,241039.80483232238
6885,172281.8936336396
9308,184495.1925064864
2559,158253.59235859092
6648,186869.58035360678
15260,167573.55148829657
5113,182577.3938959236
16492,202020.81688596
12034,287020.2175008949
7248,194414.3576144985
2171,212639.33328132707
10594,165877.46176204254
13241,189830.77765994545
7032,140245.8458133929
4884,152075.18008691535
903,248130.19984357015
162,154325.44795092838
6566,230043.14576118125
8249,118829.60178989748
13106,203289.38837590703
256,120713.92142326084
7976,166855.46032553358
8575,174422.37703618038
7591,292164.5404538043
3204,258135.33567182376
15804,189617.59606916585
1525,290164.1420356607
9038,200558.42305261976
13628,190671.41653144173
10016,203799.94044252724
10208,244249.70174814665
2008,190085.19738636087
13029,190149.71009467437
5099,129851.3733794006
9923,276159.3083161509
9461,143197.6421035826
11086,157946.07211321683
15057,223680.2767095167
10689,172749.93001789018
2053,240269.3258520558
16630,167703.3664617242
4985,164422.96405753578
13881,234096.0847892873
13225,199303.84264503748
5779,65428.731884839675
10262,190960.71107421035
10762,226509.66963360432
9513,194737.86257037605
11128,152478.73745615792
2074,304105.6708673173
933,202759.4664254628
2780,194042.8464184696
6594,115392.51468391338
15394,357265.1522450553
14863,144615.86527573346
6698,215626.71675109916
1611,295381.8233931137
174,187337.90740461054
5160,211938.22752985908
3295,322171.24639922334
4559,369870.01318462915
8254,175328.46263829022
10228,102084.89355149734
13924,138419.36673439777
15341,246989.49194236257
4353,191717.35991118188
4334,68007.67223338634
1872,162348.6011857838
7823,177732.9017861978
310,147566.0413601627
3704,243341.50326596975
11615,215108.69471540835
6605,213547.08015289047
3381,185451.41559364804
2143,142845.66583346715
3191,243413.14096927134
13980,175894.18994923588
15613,170937.77760836334
10943,270716.43083596247
9654,158773.12133412066
16053,369072.36667557596
14931,217594.2131589239
8299,214874.89698016466
2147,171713.18074828188
11567,435284.84507853346
5905,135794.8131033921
11160,112544.531954298
8275,148329.84212446606
16398,271059.4211893524
11229,195450.0639410367
10309,164807.54594946746
7340,274405.222506036
7653,168865.95228577926
272,181657.83248587296
9831,238152.0967782106
5016,139363.91316329458
5968,72819.06728963957
796,244008.41445385705
12123,132898.08497837666
16629,188018.07944842745
2637,173460.92959943123
6194,221886.95343365852
6216,412474.84440939775
14346,158933.1372628281
6428,132295.17512361216
2891,223894.82501342453
